date;stadium;time;home_team;away_team;home_score;away_score;attendance;average_ticket_price
29/07/18;Beira-Rio;16h00;Internacional;Botafogo;3;0;26608;28
06/06/18;Arena do Grêmio;21h45;Grêmio;Palmeiras;0;2;26566;33
19/05/18;Arena Palmeiras;21h00;Palmeiras;Bahia;3;0;26351;57
26/05/18;Arena Palmeiras;19h00;Palmeiras;Sport;2;3;25947;58
06/05/18;Arena do Grêmio;19h00;Grêmio;Santos;5;1;25779;31
15/11/18;Beira-Rio;21h00;Internacional;América-MG;2;0;25654;25
30/05/18;Morumbi;21h00;São Paulo;Botafogo;3;2;25427;21
18/11/18;Estádio do Café;17h00;Paraná;Palmeiras;1;1;25076;77
22/08/18;Arena Palmeiras;21h00;Palmeiras;Botafogo;2;0;24882;58
15/11/18;Morumbi;19h00;São Paulo;Grêmio;1;1;24757;30
05/09/18;Arena Palmeiras;21h00;Palmeiras;Atlético-PR;2;0;24601;51
16/09/18;Fonte Nova;16h00;Bahia;Palmeiras;1;1;24495;27
22/07/18;Fonte Nova;16h00;Bahia;Vitória;4;1;24312;18
19/08/18;Mineirão;16h00;Cruzeiro;Bahia;1;1;24127;16
13/10/18;Pacaembu;19h00;Santos;Corinthians;1;0;24123;32
20/05/18;Arena de Pernambuco;16h00;Sport;Corinthians;1;1;23749;25
19/07/18;Pacaembu;20h00;Santos;Palmeiras;1;1;23572;31
22/04/18;Pacaembu;16h00;Palmeiras;Internacional;1;0;23236;30
16/09/18;Engenhão;11h00;Botafogo;América-MG;1;0;23089;9
04/11/18;Beira-Rio;19h00;Internacional;Atlético-PR;2;1;22495;27
22/04/18;Arena do Grêmio;19h00;Grêmio;Atlético-PR;0;0;22049;31
11/11/18;Barradão;17h00;Vitória;Bahia;2;2;21714;8
16/09/18;Mineirão;16h00;Cruzeiro;Atlético-MG;0;0;21675;47
25/07/18;Maracanã;19h30;Fluminense;Palmeiras;1;0;21462;26
06/08/18;Independência;20h00;Atlético-MG;Internacional;0;1;21327;15
29/07/18;Mineirão;16h00;Cruzeiro;São Paulo;0;2;21304;30
12/08/18;Independência;11h00;Atlético-MG;Santos;3;1;21261;17
25/07/18;Arena Corinthians;21h45;Corinthians;Cruzeiro;2;0;21031;39
23/08/18;Independência;20h00;Atlético-MG;Vasco;0;0;20903;18
16/09/18;Arena Corinthians;19h00;Corinthians;Sport;2;1;20901;34
13/05/18;Fonte Nova;16h00;Bahia;São Paulo;2;2;20847;25
11/11/18;Arena do Grêmio;17h00;Grêmio;Vasco;2;1;20763;32
12/06/18;Morumbi;21h30;São Paulo;Vitória;3;0;20456;22
18/07/18;Arena do Grêmio;21h45;Grêmio;Atlético-MG;2;0;20311;31
14/11/18;São Januário;19h30;Vasco;Atlético-PR;1;1;20212;15
19/08/18;Arena da Baixada;11h00;Atlético-PR;Flamengo;3;0;20146;36
30/09/18;Independência;16h00;Atlético-MG;Sport;5;2;20120;12
04/11/18;Engenhão;17h00;Botafogo;Corinthians;1;0;19994;9
26/07/18;Arena do Grêmio;19h30;Grêmio;São Paulo;2;1;19865;35
18/07/18;Arena Corinthians;21h45;Corinthians;Botafogo;2;0;19830;41
13/06/18;Beira-Rio;21h45;Internacional;Vasco;3;1;19733;28
13/06/18;Independência;21h45;Atlético-MG;Ceará;2;1;19654;15
06/06/18;Mineirão;21h45;Cruzeiro;Vasco;1;1;19441;21
14/10/18;Independência;19h00;Atlético-MG;América-MG;0;0;19362;9
15/09/18;Arena do Grêmio;16h00;Grêmio;Paraná;2;0;19278;25
23/07/18;Beira-Rio;20h00;Internacional;Ceará;1;0;19277;29
29/04/18;Independência;16h00;Atlético-MG;Corinthians;1;0;19118;26
11/08/18;Fonte Nova;19h00;Bahia;América-MG;1;0;19100;19
06/05/18;Arena da Baixada;16h00;Atlético-PR;Palmeiras;1;3;19077;38
