Vasco Sport 12064
Vasco Atlético-MG 8535
Vasco Palmeiras 9040
Vasco Joinville 35508
Vasco Atlético-PR 12167
Vasco Grêmio 12504
Vasco Fluminense 14140
Vasco Chapecoense 15601
Vasco Santos 31666
Vasco Goiás 6628
Vasco Corinthians 24516
Vasco Figueirense 14857
Vasco Coritiba 17028
Vasco Internacional 6410
Vasco Flamengo 28875
Vasco Ponte Preta 11581
Vasco São Paulo 16125
Vasco Cruzeiro 6949
Vasco Avaí 8649
Vasco Botafogo 18008
Vasco América-MG 3311
Vasco Vitória 8066
Vasco Atlético-GO 19308
Vasco Bahia 15287
Vasco Paraná 4221
Vasco Ceará 15093
Sport Vasco 13647
Sport Atlético-MG 14275
Sport Palmeiras 26735
Sport Joinville 9739
Sport Atlético-PR 14505
Sport Grêmio 9132
Sport Fluminense 8879
Sport Chapecoense 10044
Sport Santos 9286
Sport Goiás 10702
Sport Corinthians 16251
Sport Figueirense 6039
Sport Coritiba 8733
Sport Internacional 10704
Sport Flamengo 20553
Sport Ponte Preta 12359
Sport São Paulo 17258
Sport Cruzeiro 10874
Sport Avaí 6358
Sport Santa Cruz 11688
Sport Botafogo 7105
Sport América-MG 15039
Sport Vitória 10923
Sport Atlético-GO 8809
Sport Bahia 8561
Sport Paraná 7956
Sport Ceará 16203
Atlético-MG Vasco 16433
Atlético-MG Sport 23026
Atlético-MG Palmeiras 16051
Atlético-MG Joinville 55987
Atlético-MG Atlético-PR 14177
Atlético-MG Grêmio 24101
Atlético-MG Fluminense 11245
Atlético-MG Chapecoense 12135
Atlético-MG Santos 12044
Atlético-MG Goiás 9373
Atlético-MG Corinthians 29197
Atlético-MG Figueirense 14271
Atlético-MG Coritiba 12942
Atlético-MG Internacional 19887
Atlético-MG Flamengo 22127
Atlético-MG Ponte Preta 14980
Atlético-MG São Paulo 21536
Atlético-MG Cruzeiro 17394
Atlético-MG Avaí 10501
Atlético-MG Santa Cruz 16804
Atlético-MG Botafogo 24343
Atlético-MG América-MG 22993
Atlético-MG Vitória 10797
Atlético-MG Atlético-GO 6624
Atlético-MG Bahia 10367
Atlético-MG Paraná 18143
Atlético-MG Ceará 19654
Palmeiras Vasco 30745
Palmeiras Sport 23798
Palmeiras Atlético-MG 32916
Palmeiras Joinville 28907
Palmeiras Atlético-PR 31700
Palmeiras Grêmio 25379
Palmeiras Fluminense 31302
Palmeiras Chapecoense 31415
Palmeiras Santos 38680
Palmeiras Goiás 37337
Palmeiras Corinthians 38325
Palmeiras Figueirense 27814
Palmeiras Coritiba 27676
Palmeiras Internacional 30467
Palmeiras Flamengo 33834
Palmeiras Ponte Preta 25365
Palmeiras São Paulo 33888
Palmeiras Cruzeiro 26376
Palmeiras Avaí 35581
Palmeiras Santa Cruz 34162
Palmeiras Botafogo 29378
Palmeiras América-MG 27429
Palmeiras Vitória 33296
Palmeiras Atlético-GO 29014
Palmeiras Bahia 24876
Palmeiras Paraná 35776
Palmeiras Ceará 33355
Joinville Vasco 7026
Joinville Sport 9512
Joinville Atlético-MG 7486
Joinville Atlético-PR 9144
Joinville Fluminense 12395
Joinville Chapecoense 7387
Joinville Santos 9679
Joinville Goiás 9049
Joinville Corinthians 14131
Joinville Figueirense 8954
Joinville Coritiba 7416
Joinville Internacional 10324
Joinville Flamengo 15728
Joinville Ponte Preta 8250
Joinville São Paulo 13064
Joinville Cruzeiro 10496
Joinville Avaí 11245
Atlético-PR Vasco 11849
Atlético-PR Sport 16487
Atlético-PR Atlético-MG 11059
Atlético-PR Palmeiras 17379
Atlético-PR Joinville 13238
Atlético-PR Grêmio 14972
Atlético-PR Fluminense 12950
Atlético-PR Chapecoense 11153
Atlético-PR Santos 15381
Atlético-PR Goiás 14348
Atlético-PR Corinthians 22430
Atlético-PR Figueirense 12058
Atlético-PR Coritiba 16179
Atlético-PR Internacional 10479
Atlético-PR Flamengo 25155
Atlético-PR Ponte Preta 12605
Atlético-PR São Paulo 15648
Atlético-PR Cruzeiro 12727
Atlético-PR Avaí 10744
Atlético-PR Santa Cruz 11863
Atlético-PR Botafogo 11240
Atlético-PR América-MG 8477
Atlético-PR Vitória 13383
Atlético-PR Atlético-GO 5864
Atlético-PR Bahia 11717
Atlético-PR Paraná 12956
Grêmio Vasco 25268
Grêmio Sport 17903
Grêmio Atlético-MG 24548
Grêmio Palmeiras 20790
Grêmio Joinville 31183
Grêmio Atlético-PR 17392
Grêmio Fluminense 15074
Grêmio Chapecoense 14263
Grêmio Santos 19434
Grêmio Goiás 27176
Grêmio Corinthians 38083
Grêmio Figueirense 21174
Grêmio Coritiba 24469
Grêmio Internacional 46043
Grêmio Flamengo 20996
Grêmio Ponte Preta 15445
Grêmio São Paulo 30425
Grêmio Cruzeiro 14449
Grêmio Avaí 20236
Grêmio Santa Cruz 16068
Grêmio Botafogo 15834
Grêmio América-MG 11859
Grêmio Vitória 14267
Grêmio Atlético-GO 6783
Grêmio Bahia 25857
Grêmio Paraná 19278
Grêmio Ceará 36789
Fluminense Vasco 23413
Fluminense Sport 10799
Fluminense Atlético-MG 9678
Fluminense Palmeiras 13632
Fluminense Joinville 19185
Fluminense Atlético-PR 17070
Fluminense Grêmio 12126
Fluminense Chapecoense 7873
Fluminense Santos 8195
Fluminense Goiás 9838
Fluminense Corinthians 16260
Fluminense Figueirense 12299
Fluminense Coritiba 11172
Fluminense Internacional 8556
Fluminense Flamengo 38147
Fluminense Ponte Preta 11066
Fluminense São Paulo 13396
Fluminense Cruzeiro 9037
Fluminense Avaí 12622
Fluminense Santa Cruz 2325
Fluminense Botafogo 8591
Fluminense América-MG 5885
Fluminense Vitória 12561
Fluminense Atlético-GO 24098
Fluminense Bahia 13177
Fluminense Paraná 6223
Fluminense Ceará 5945
Chapecoense Vasco 7298
Chapecoense Sport 7803
Chapecoense Atlético-MG 8706
Chapecoense Palmeiras 9848
Chapecoense Joinville 6179
Chapecoense Atlético-PR 7257
Chapecoense Grêmio 13617
Chapecoense Fluminense 7080
Chapecoense Santos 7745
Chapecoense Corinthians 12347
Chapecoense Figueirense 8901
