date;stadium;time;home_team;away_team;home_score;away_score;attendance;average_ticket_price
17/09/15;Mané Garrincha;21h00;Flamengo;Coritiba;0;2;67011;59
12/07/15;Morumbi;11h00;São Paulo;Coritiba;3;1;59482;22
28/06/15;Mineirão;11h00;Atlético-MG;Joinville;1;0;55987;28
04/10/15;Maracanã;11h00;Flamengo;Joinville;2;0;52462;46
02/08/15;Maracanã;16h00;Flamengo;Santos;2;2;51749;47
08/07/15;Mineirão;22h00;Atlético-MG;Sport;2;1;50684;32
06/09/15;Maracanã;16h00;Fluminense;Flamengo;1;3;50468;49
13/08/15;Mineirão;21h00;Atlético-MG;Grêmio;0;2;49047;28
13/09/15;Mineirão;16h00;Cruzeiro;Atlético-MG;1;1;45991;34
29/07/15;Mineirão;22h00;Atlético-MG;São Paulo;3;1;45392;39
22/11/15;Arena Corinthians;17h00;Corinthians;São Paulo;6;1;44976;52
18/07/15;Maracanã;18h30;Flamengo;Grêmio;1;0;44318;46
13/09/15;Arena do Grêmio;16h00;Grêmio;São Paulo;1;2;44227;41
07/11/15;Arena Corinthians;19h30;Corinthians;Coritiba;2;1;43688;63
30/08/15;Arena do Grêmio;11h00;Grêmio;Coritiba;0;0;43549;43
25/10/15;Arena Corinthians;17h00;Corinthians;Flamengo;1;0;43515;63
09/08/15;Arena do Grêmio;18h30;Grêmio;Internacional;5;0;42432;41
13/09/15;Arena Corinthians;11h00;Corinthians;Joinville;3;0;41809;64
20/09/15;Arena Corinthians;11h00;Corinthians;Santos;2;0;41748;63
23/08/15;Arena Corinthians;16h00;Corinthians;Cruzeiro;3;0;41014;65
15/10/15;Arena Corinthians;19h30;Corinthians;Goiás;3;0;40925;62
27/09/15;Maracanã;16h00;Flamengo;Vasco;1;2;40240;49
06/09/15;Mineirão;11h00;Cruzeiro;Figueirense;5;1;39042;31
02/08/15;Arena Palmeiras;11h00;Palmeiras;Atlético-PR;0;1;38794;85
18/10/15;Mineirão;11h00;Cruzeiro;Fluminense;2;0;38577;30
10/09/15;Maracanã;21h00;Flamengo;Cruzeiro;2;0;38539;29
19/07/15;Arena Palmeiras;16h00;Palmeiras;Santos;1;0;38220;71
16/08/15;Arena Palmeiras;11h00;Palmeiras;Flamengo;4;2;37739;77
