date;stadium;time;home_team;away_team;home_score;away_score;attendance;average_ticket_price
24/09/17;Morumbi;11h00;São Paulo;Corinthians;1;1;61142;28
03/12/17;Morumbi;17h00;São Paulo;Bahia;1;1;60485;20
13/08/17;Morumbi;11h00;São Paulo;Cruzeiro;3;2;56052;28
03/08/17;Morumbi;19h30;São Paulo;Coritiba;1;2;53635;27
24/07/17;Morumbi;20h00;São Paulo;Grêmio;1;1;51511;26
25/06/17;Arena do Grêmio;16h00;Grêmio;Corinthians;0;1;50116;41
05/11/17;Arena Corinthians;17h00;Corinthians;Palmeiras;3;2;46090;63
26/11/17;Arena Corinthians;17h00;Corinthians;Atlético-MG;2;2;46030;62
15/11/17;Arena Corinthians;21h45;Corinthians;Fluminense;3;1;45775;62
30/07/17;Arena Corinthians;16h00;Corinthians;Flamengo;1;1;44682;63
01/10/17;Morumbi;16h00;São Paulo;Sport;1;0;43071;24
02/08/17;Mineirão;21h00;Atlético-MG;Corinthians;0;2;42936;22
11/11/17;Arena Corinthians;19h00;Corinthians;Avaí;1;0;42732;64
09/09/17;Morumbi;19h00;São Paulo;Ponte Preta;2;2;42724;24
13/05/17;Maracanã;16h00;Flamengo;Atlético-MG;1;1;42575;44
11/06/17;Arena Corinthians;16h00;Corinthians;São Paulo;3;2;42443;56
19/08/17;Arena Corinthians;16h00;Corinthians;Vitória;0;1;42075;61
05/08/17;Arena Corinthians;19h00;Corinthians;Sport;3;1;41279;59
17/09/17;Arena Corinthians;16h00;Corinthians;Vasco;1;0;41235;59
15/07/17;Arena Corinthians;19h00;Corinthians;Atlético-PR;2;2;41201;58
26/08/17;Arena Corinthians;19h00;Corinthians;Atlético-GO;0;1;40581;59
02/07/17;Arena Corinthians;16h00;Corinthians;Botafogo;1;0;40341;55
03/06/17;Arena Corinthians;19h00;Corinthians;Santos;2;0;40169;52
18/10/17;Arena Corinthians;21h45;Corinthians;Grêmio;0;0;40008;55
16/07/17;Mineirão;16h00;Cruzeiro;Flamengo;1;1;39699;33
12/07/17;Arena Palmeiras;21h45;Palmeiras;Corinthians;0;2;39091;70
30/10/17;Arena Palmeiras;20h00;Palmeiras;Cruzeiro;2;2;37961;74
30/09/17;Arena Palmeiras;19h00;Palmeiras;Santos;0;1;37527;73
23/07/17;Arena de Pernambuco;16h00;Sport;Palmeiras;0;2;37430;22
11/10/17;Arena Corinthians;21h00;Corinthians;Coritiba;3;1;36439;51
