date;stadium;time;home_team;away_team;home_score;away_score;attendance;average_ticket_price
31/07/16;Morumbi;11h00;São Paulo;Chapecoense;2;2;54996;23
05/06/16;Mané Garrincha;16h00;Flamengo;Palmeiras;1;2;54665;51
23/10/16;Maracanã;17h00;Flamengo;Corinthians;2;2;54250;59
05/11/16;Morumbi;19h30;São Paulo;Corinthians;4;0;53781;13
22/10/16;Morumbi;17h00;São Paulo;Ponte Preta;2;0;49673;12
23/10/16;Arena do Grêmio;17h00;Grêmio;Internacional;0;0;47662;37
28/08/16;Mineirão;11h00;Cruzeiro;Santa Cruz;2;0;46591;31
14/08/16;Arena do Grêmio;11h00;Grêmio;Corinthians;3;0;46163;51
29/10/16;Mineirão;16h30;Atlético-MG;Flamengo;2;2;44952;41
05/11/16;Maracanã;17h00;Flamengo;Botafogo;0;0;44388;54
03/07/16;Mineirão;11h00;Cruzeiro;Vitória;2;2;43821;30
18/09/16;Mineirão;16h00;Cruzeiro;Atlético-MG;1;1;43334;32
17/07/16;Arena Corinthians;16h00;Corinthians;São Paulo;1;1;42099;62
27/11/16;Arena Palmeiras;17h00;Palmeiras;Chapecoense;1;0;40986;101
12/07/16;Arena Palmeiras;20h30;Palmeiras;Santos;1;1;40035;71
07/09/16;Arena Palmeiras;21h45;Palmeiras;São Paulo;2;1;39944;68
12/06/16;Arena Palmeiras;16h00;Palmeiras;Corinthians;1;0;39935;69
17/09/16;Arena Corinthians;16h00;Corinthians;Palmeiras;0;2;39879;58
15/11/16;Maracanã;17h00;Fluminense;Atlético-PR;1;1;39877;16
20/11/16;Arena Palmeiras;17h00;Palmeiras;Botafogo;1;0;39690;79
24/07/16;Arena Palmeiras;11h00;Palmeiras;Atlético-MG;0;1;39400;74
23/07/16;Arena Corinthians;16h00;Corinthians;Figueirense;1;1;38507;65
24/07/16;Arena do Grêmio;16h00;Grêmio;São Paulo;1;0;37069;39
03/07/16;Beira-Rio;11h00;Internacional;Grêmio;0;1;36229;47
26/05/16;Arena Corinthians;11h00;Corinthians;Ponte Preta;3;0;35573;57
11/12/16;Arena da Baixada;17h00;Atlético-PR;Flamengo;0;0;35396;29
29/10/16;Beira-Rio;18h30;Internacional;Santa Cruz;1;1;35376;15
20/11/16;Maracanã;19h30;Flamengo;Coritiba;2;2;35066;44
11/12/16;Barradão;17h00;Vitória;Palmeiras;1;2;34757;15
19/06/16;Arena Corinthians;16h00;Corinthians;Botafogo;3;1;34747;58
30/06/16;Mineirão;21h00;Atlético-MG;Botafogo;5;3;34512;23
18/06/16;Arena Palmeiras;16h00;Palmeiras;Santa Cruz;3;1;34162;63
10/07/16;Arena do Grêmio;11h00;Grêmio;Figueirense;2;1;34013;38
27/11/16;Maracanã;17h00;Flamengo;Santos;2;0;33924;47
14/05/16;Arena Palmeiras;16h00;Palmeiras;Atlético-PR;4;0;33629;61
08/08/16;Pacaembu;21h00;Corinthians;Cruzeiro;1;1;33416;39
22/06/16;Mineirão;21h45;Atlético-MG;Corinthians;2;1;32939;22
14/09/16;Arena Palmeiras;21h45;Palmeiras;Flamengo;1;1;32885;69
30/06/16;Arena Palmeiras;19h30;Palmeiras;Figueirense;4;0;32834;58
03/07/16;Arena Corinthians;16h00;Corinthians;Flamengo;4;0;32577;62
11/07/16;Mineirão;20h00;Cruzeiro;Atlético-PR;0;3;32042;27
16/10/16;Beira-Rio;17h00;Internacional;Flamengo;2;1;31981;20
06/11/16;Arena Palmeiras;17h00;Palmeiras;Internacional;1;0;31967;66
15/05/16;Arena Corinthians;16h00;Corinthians;Grêmio;0;0;31533;51
06/10/16;Beira-Rio;19h30;Internacional;Coritiba;1;0;31431;14
23/10/16;Arena Palmeiras;17h00;Palmeiras;Sport;2;1;31107;69
24/09/16;Arena Palmeiras;16h00;Palmeiras;Coritiba;2;1;30962;71
01/10/16;Beira-Rio;21h00;Internacional;Figueirense;1;0;30796;13
28/08/16;Arena do Grêmio;16h00;Grêmio;Atlético-MG;1;1;30631;36
07/08/16;Arena Palmeiras;16h00;Palmeiras;Vitória;2;1;30330;65
01/06/16;Arena Corinthians;21h00;Corinthians;Santos;1;0;30187;48
31/07/16;Beira-Rio;16h00;Internacional;Corinthians;0;1;30098;29
08/09/16;Beira-Rio;21h00;Internacional;Santos;2;1;29996;25
01/10/16;Morumbi;16h00;São Paulo;Flamengo;0;0;29813;27
21/08/16;Arena Palmeiras;16h00;Palmeiras;Ponte Preta;2;2;29138;64
17/11/16;Beira-Rio;21h00;Internacional;Ponte Preta;1;1;28774;13
25/05/16;Arena Palmeiras;21h45;Palmeiras;Fluminense;2;0;28534;54
